Region,Hazard Event,Quarter,Year,Duration,Fatalities,Injuries,Property Damage
2,Hurricane/Tropical Storm,3,1996,1,10,0,"14,333,378"
4,Lightning,2,1996,1,0,11,0
4,Lightning,3,1996,1,0,0,"3,064,508"
3,Flooding,1,1996,1,0,0,"85,949"
3,Lightning,3,1996,1,0,0,"1,733,016"
1,Hail,1,1992,1,0,0,"833,815"
1,Severe Storm/Thunder Storm,2,1992,1,0,0,"737,197"
1,Severe Storm/Thunder Storm/ Wind,3,1992,1,0,0,"760,578"
6,Heat,2,1993,30,0,0,0
1,Heat,2,1993,30,0,0,0
2,Heat,2,1993,30,0,0,0
4,Heat,2,1993,30,0,0,0
3,Heat,2,1993,30,0,0,0
5,Heat,2,1993,30,0,0,0
6,Drought/ Heat,3,1993,31,0,0,"95,598,307"
1,Drought/ Heat,3,1993,31,0,0,"90,630,980"
2,Drought/ Heat,3,1993,31,0,0,"98,937,152"
4,Drought/ Heat,3,1993,31,0,0,"84,389,979"
3,Drought/ Heat,3,1993,31,0,0,"91,558,942"
5,Drought/ Heat,3,1993,31,0,0,"89,584,748"
1,Hail/ Severe Storm/Thunder Storm/ Wind,3,1993,1,0,0,"2,919,938"
1,Flooding,3,1993,1,0,0,"826,761"
1,Lightning/ Severe Storm/Thunder Storm,3,1993,1,0,0,"7,700,901"
6,Winter Weather,1,1994,1,12,0,0
6,Drought,2,1994,31,0,0,0
1,Drought,2,1994,31,0,0,0
2,Drought,2,1994,31,0,0,0
4,Drought,2,1994,31,0,0,0
3,Drought,2,1994,31,0,0,0
5,Drought,2,1994,31,0,0,0
2,Flooding,2,1994,1,0,0,"368,757"
1,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,3,1994,1,0,0,"762,956"
4,Flooding,3,1994,1,0,0,"732,203"
1,Flooding,3,1994,1,0,0,"776,351"
1,Lightning,3,1994,1,0,0,"754,396"
2,Flooding,4,1994,1,0,0,"4,088,230"
2,Flooding/ Severe Storm/Thunder Storm,4,1994,2,0,0,"1,176,472"
1,Winter Weather,1,1995,1,0,0,"155,349"
4,Severe Storm/Thunder Storm/ Wind,1,1995,1,0,0,"14,620"
4,Severe Storm/Thunder Storm/ Wind,1,1995,1,0,0,"844,515"
4,Flooding,1,1995,1,0,0,"155,714"
5,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1995,1,0,0,"86,924"
2,Severe Storm/Thunder Storm/ Wind,1,1995,1,0,0,"161,135"
1,Severe Storm/Thunder Storm/ Wind,1,1995,1,0,0,"85,703"
1,Lightning,1,1995,1,0,0,"26,499"
1,Flooding,1,1995,1,0,0,"231,098"
4,Flooding,1,1995,3,0,0,"14,569"
1,Wind,1,1995,1,0,0,"142,668"
4,Hail,2,1995,1,0,0,"83,191"
6,Hail,2,1995,1,0,0,"164,971"
3,Hail,2,1995,1,0,0,"29,573"
5,Hail,2,1995,1,0,0,"29,706"
6,Drought,2,1995,31,0,0,0
1,Drought,2,1995,31,0,0,0
2,Drought,2,1995,31,0,0,0
4,Drought,2,1995,31,0,0,0
3,Drought,2,1995,31,0,0,0
5,Drought,2,1995,31,0,0,0
4,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,"14,534"
2,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,23,0
3,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,"226,865"
5,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,"16,975"
1,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,"31,184"
4,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,"85,141"
2,Flooding,2,1995,1,0,0,"241,560"
2,Flooding,2,1995,1,0,0,"31,012"
6,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,"155,333"
1,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,"34,484"
3,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,"845,387"
1,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,"427,647"
4,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,"15,038"
5,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,"30,575"
2,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,"32,664"
3,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,"149,405"
2,Lightning,2,1995,1,0,12,0
5,Severe Storm/Thunder Storm/ Wind,2,1995,1,0,0,"71,841"
3,Severe Storm/Thunder Storm,2,1995,1,0,0,"79,275"
3,Lightning,3,1995,1,11,44,0
3,Hail,3,1995,1,0,0,"158,615"
2,Lightning,3,1995,1,0,21,0
2,Severe Storm/Thunder Storm/ Wind,3,1995,1,0,0,"51,850"
2,Heat,3,1995,1,12,0,0
1,Heat,3,1995,1,13,0,0
1,Flooding,3,1995,1,11,59,"78,721,032"
1,Flooding,3,1995,1,0,0,"8,520,450"
4,Severe Storm/Thunder Storm/ Wind,4,1995,1,0,0,"171,106"
1,Wind,4,1995,1,0,0,"611,257"
1,Winter Weather,4,1995,1,12,0,0
1,Flooding,1,1998,2,0,0,"865,202"
1,Wind,1,1998,1,0,0,"162,736"
2,Severe Storm/Thunder Storm/ Wind,1,1998,1,0,0,"65,354"
2,Lightning,2,1998,1,0,0,"449,784"
2,Severe Storm/Thunder Storm/ Wind,2,1998,1,0,0,"306,450"
1,Severe Storm/Thunder Storm/ Wind,2,1998,1,0,36,0
1,Severe Storm/Thunder Storm/ Wind,2,1998,1,0,0,"310,730"
2,Severe Storm/Thunder Storm/ Wind,2,1998,1,0,0,"818,518"
2,Hail,2,1998,1,0,0,"719,997"
2,Lightning,3,1998,1,0,0,"1,223,972"
2,Severe Storm/Thunder Storm/ Wind,3,1998,1,0,0,"145,553"
2,Severe Storm/Thunder Storm/ Wind,3,1998,1,0,0,"424,833"
1,Lightning,3,1998,1,0,0,"79,957"
2,Lightning,3,1998,1,11,11,0
2,Severe Storm/Thunder Storm,3,1998,1,0,0,"807,025"
2,Severe Storm/Thunder Storm/ Wind,3,1998,1,0,0,"146,202"
3,Tornado,3,1964,1,0,0,"827,791"
2,Tornado,3,1965,1,0,511,"734,185"
2,Tornado,4,1965,1,0,0,"764,462"
3,Tornado,4,1967,1,0,0,"744,330"
6,Tornado,2,1978,1,0,0,"4,160,753"
2,Tornado,2,1973,1,0,0,"783,405"
1,Tornado,2,1973,1,0,165,"2,378,056"
2,Tornado,1,1976,1,0,38,"8,490,331"
4,Tornado,2,1976,1,0,37,"835,955"
3,Tornado,2,1976,1,12,37,"834,766"
4,Tornado,4,1977,1,0,78,"7,364,839"
1,Tornado,2,1980,1,0,30,"4,047,411"
1,Tornado,1,1979,1,0,24,"8,174,876"
2,Tornado,3,1979,1,0,0,"759,865"
2,Tornado,3,1979,1,0,0,"7,436,965"
2,Tornado,3,1979,1,0,0,"799,178"
3,Tornado,2,1980,1,0,0,"811,305"
1,Tornado,1,1975,1,0,52,"431,570"
6,Tornado,4,1975,1,0,44,"740,288"
3,Tornado,4,1975,1,0,79,"748,372"
2,Tornado,2,1982,1,0,93,"3,844,506"
2,Tornado,2,1982,1,0,0,"721,503"
4,Tornado,2,1983,1,0,23,"766,919"
4,Tornado,2,1983,1,0,0,"1,937,312"
2,Tornado,1,1984,1,0,89,"740,288"
2,Hail/ Tornado,2,1985,1,0,0,"770,724"
2,Tornado,4,1985,1,0,0,"829,535"
5,Tornado,4,1985,1,0,0,"715,162"
3,Tornado,3,1987,1,0,22,"729,984"
5,Tornado,3,1989,1,0,0,"7,661,271"
6,Tornado,4,1992,1,0,28,"2,099,993"
6,Tornado,2,1998,1,0,0,"4,453,619"
6,Tornado,2,1998,1,0,23,"7,597,863"
6,Tornado,2,1998,1,12,110,"16,162,699"
6,Tornado,2,1999,1,0,0,"8,175"
1,Tornado,4,1995,1,0,0,"1,285,676"
1,Tornado,3,1996,1,0,0,"216,593"
2,Tornado,4,1995,1,0,0,"22,876,813"
2,Tornado,4,1996,1,0,0,"3,916,236"
2,Tornado,2,1997,1,0,13,"347,475"
2,Tornado,1,1998,1,0,0,"411,319"
2,Tornado,2,1999,1,0,0,"403,671"
4,Tornado,1,1995,1,0,0,"14,677"
4,Tornado,4,1995,1,0,0,"225,034"
4,Tornado,4,1995,1,0,36,"3,170,717"
4,Tornado,1,1996,1,0,0,"492,944"
4,Tornado,1,1996,1,0,0,"79,299"
4,Tornado,1,1998,1,0,0,"1,275,642"
4,Tornado,1,1998,1,0,0,"3,393,627"
3,Tornado,1,1995,1,0,0,"164,844,948"
3,Tornado,3,1997,1,0,11,"3,107,974"
5,Tornado,3,1996,1,0,0,"1,129,336"
5,Tornado,2,1998,1,0,0,"29,712"
1,Hail/ Wind,1,1960,1,0,0,"2,334"
4,Hail/ Wind,1,1960,1,0,0,"2,300"
3,Hail/ Wind,1,1960,1,0,0,"2,316"
5,Hail/ Wind,1,1960,1,0,0,"2,306"
1,Winter Weather,1,1960,3,0,0,"23,533"
4,Winter Weather,1,1960,3,0,0,"20,617"
3,Winter Weather,1,1960,3,0,0,"21,192"
5,Winter Weather,1,1960,3,0,0,"22,145"
1,Winter Weather,1,1960,1,3,0,"43,429"
4,Wind,1,1960,1,0,0,"71,952"
6,Winter Weather,1,1961,2,0,0,"17,962"
1,Winter Weather,1,1961,2,0,0,"17,459"
1,Severe Storm/Thunder Storm,2,1961,2,0,0,"278,907"
2,Winter Weather,1,1961,2,0,0,"16,267"
2,Wind,2,1961,1,1,13,"73,503"
4,Winter Weather,1,1961,2,0,0,"17,850"
3,Winter Weather,1,1961,2,0,0,"16,278"
5,Winter Weather,1,1961,2,0,0,"18,332"
2,Coastal/ Wind,1,1962,3,3,0,"11,561"
2,Coastal/ Wind,4,1962,8,0,0,"124,338"
6,Hail,2,1963,1,0,0,0
6,Winter Weather,4,1963,2,0,6,"167,213"
1,Hail,2,1963,1,0,0,0
1,Severe Storm/Thunder Storm,1,1963,2,0,0,"130,656"
1,Hail/ Wind,2,1963,1,0,0,0
1,Winter Weather,4,1963,2,0,7,"187,182"
1,Severe Storm/Thunder Storm,1,1963,2,2,0,"136,891"
2,Hail,2,1963,1,0,0,0
2,Winter Weather,4,1963,2,0,6,"172,382"
4,Hail,2,1963,1,0,0,0
4,Wind,1,1963,1,0,0,"216,551"
4,Winter Weather,4,1963,2,0,6,"171,210"
3,Hail,2,1963,1,0,0,0
3,Winter Weather,4,1963,2,0,7,"186,717"
5,Hail,2,1963,1,0,0,0
5,Winter Weather,4,1963,2,0,7,"177,895"
1,Severe Storm/Thunder Storm,2,1964,3,0,0,"1,191,538"
2,Severe Storm/Thunder Storm,2,1964,2,0,0,"812,494"
6,Hurricane/Tropical Storm,3,1964,3,0,0,"17,798"
1,Hurricane/Tropical Storm,3,1964,3,0,0,"16,362"
2,Hurricane/Tropical Storm,3,1964,3,0,0,"16,081"
4,Hurricane/Tropical Storm,3,1964,3,0,0,"17,397"
3,Hurricane/Tropical Storm,3,1964,3,0,0,"16,882"
5,Hurricane/Tropical Storm,3,1964,3,0,0,"16,937"
4,Severe Storm/Thunder Storm,3,1964,2,0,0,"33,986"
3,Severe Storm/Thunder Storm,3,1964,2,0,0,"33,878"
5,Severe Storm/Thunder Storm,3,1964,2,0,0,"33,000"
6,Severe Storm/Thunder Storm,4,1964,2,0,0,0
1,Severe Storm/Thunder Storm,4,1964,2,0,0,0
2,Severe Storm/Thunder Storm,4,1964,2,0,0,0
4,Severe Storm/Thunder Storm,4,1964,2,0,0,0
3,Severe Storm/Thunder Storm,4,1964,2,0,0,0
5,Severe Storm/Thunder Storm,4,1964,2,0,0,0
6,Severe Storm/Thunder Storm,4,1964,3,3,0,"187,458"
1,Severe Storm/Thunder Storm,4,1964,3,2,0,"162,078"
2,Severe Storm/Thunder Storm,4,1964,3,0,0,"174,863"
4,Severe Storm/Thunder Storm,4,1964,3,1,0,"185,976"
3,Severe Storm/Thunder Storm,4,1964,3,2,0,"158,822"
5,Severe Storm/Thunder Storm,4,1964,3,2,0,"187,699"
6,Flooding,1,1966,5,0,0,"16,314"
6,Wildfire,1,1966,17,0,0,"179,963"
6,Winter Weather,1,1966,2,1,0,0
1,Flooding,1,1966,5,0,0,"16,107"
1,Wildfire,1,1966,17,0,0,"180,497"
1,Winter Weather,1,1966,2,2,0,"220,405"
1,Winter Weather,1,1966,2,2,0,0
2,Flooding,1,1966,5,0,0,"17,795"
2,Wildfire,1,1966,17,0,0,"166,248"
2,Winter Weather,1,1966,2,3,0,0
4,Flooding,1,1966,5,0,0,"18,587"
4,Wildfire,1,1966,17,0,0,"184,408"
4,Winter Weather,1,1966,2,2,0,"245,677"
4,Winter Weather,1,1966,2,1,0,0
3,Flooding,1,1966,5,0,0,"15,859"
3,Wildfire,1,1966,17,0,0,"171,537"
3,Winter Weather,1,1966,2,3,0,"209,853"
3,Winter Weather,1,1966,2,2,0,0
5,Flooding,1,1966,5,0,0,"16,992"
5,Wildfire,1,1966,17,0,0,"178,774"
5,Winter Weather,1,1966,2,2,0,"220,813"
5,Winter Weather,1,1966,2,1,0,0
6,Severe Storm/Thunder Storm,3,1967,6,0,0,"171,503"
1,Severe Storm/Thunder Storm,3,1967,6,0,0,"173,123"
2,Severe Storm/Thunder Storm,3,1967,6,0,0,"160,269"
4,Severe Storm/Thunder Storm,3,1967,6,0,0,"173,450"
3,Severe Storm/Thunder Storm,3,1967,6,0,0,"178,688"
5,Severe Storm/Thunder Storm,3,1967,6,0,0,"173,088"
3,Severe Storm/Thunder Storm/ Wind,3,1968,1,0,0,"739,099"
1,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,"248,621"
2,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,"240,051"
6,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,"268,708"
3,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,"254,862"
5,Severe Storm/Thunder Storm/ Winter Weather,1,1968,5,0,0,"241,537"
6,Winter Weather,1,1969,3,0,0,"160,592"
1,Winter Weather,1,1969,3,0,0,"154,200"
1,Severe Storm/Thunder Storm,3,1969,1,0,0,"776,272"
2,Winter Weather,1,1969,3,0,0,"179,732"
4,Winter Weather,1,1969,3,11,0,"155,482"
4,Wind/ Winter Weather,4,1969,1,2,2,"29,617"
3,Winter Weather,1,1969,3,0,0,"160,474"
3,Wind/ Winter Weather,4,1969,1,1,1,"30,790"
5,Winter Weather,1,1969,3,0,0,"158,871"
5,Wind/ Winter Weather,4,1969,1,2,2,"33,736"
1,Severe Storm/Thunder Storm/ Wind,3,1970,1,0,0,"788,082"
2,Hail/ Severe Storm/Thunder Storm/ Wind,3,1970,2,0,0,0
2,Coastal/ Hurricane/Tropical Storm/ Wind,4,1970,1,0,0,"1,127,301"
5,Wind,2,1970,1,0,2,"163,687"
6,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,"157,375"
1,Winter Weather,1,1971,1,4,8,"459,526"
1,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,"170,400"
2,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,"181,479"
2,Hurricane/Tropical Storm,3,1971,4,0,0,"1,058,006"
4,Hail/ Severe Storm/Thunder Storm/ Wind,2,1971,1,0,0,"1,348,604"
4,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,"183,012"
3,Hail/ Severe Storm/Thunder Storm/ Wind,2,1971,1,0,0,"63,657"
3,Severe Storm/Thunder Storm,3,1971,1,0,0,"718,412"
3,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,12,"173,622"
5,Hail/ Severe Storm/Thunder Storm/ Wind,2,1971,1,0,33,"60,750"
5,Severe Storm/Thunder Storm/ Wind/ Winter Weather,4,1971,1,0,0,"176,293"
6,Winter Weather,2,1972,30,0,0,0
6,Hurricane/Tropical Storm,2,1972,2,0,0,"1,777"
1,Winter Weather,2,1972,30,0,0,0
1,Hurricane/Tropical Storm,2,1972,2,0,0,"1,694"
1,Lightning/ Severe Storm/Thunder Storm/ Wind,3,1972,1,0,0,"752,811"
2,Winter Weather,2,1972,30,0,0,0
2,Hurricane/Tropical Storm,2,1972,2,0,0,"1,574"
4,Winter Weather,2,1972,30,0,0,0
4,Hurricane/Tropical Storm,2,1972,2,0,0,"1,598"
3,Winter Weather,2,1972,30,0,0,0
3,Hurricane/Tropical Storm,2,1972,2,0,0,"1,552"
5,Winter Weather,2,1972,30,0,0,0
5,Hurricane/Tropical Storm,2,1972,2,0,0,"1,626"
6,Winter Weather,1,1973,2,0,0,"160,114"
6,Flooding,1,1973,1,0,0,"15,894"
6,Winter Weather,1,1973,2,3,0,"1,882,757"
1,Winter Weather,1,1973,2,0,0,"166,558"
1,Flooding,1,1973,1,0,0,"16,026"
1,Winter Weather,1,1973,2,2,0,"1,692,878"
1,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1973,1,0,0,"3,488"
1,Winter Weather,2,1973,2,0,0,0
2,Winter Weather,1,1973,2,0,0,"165,335"
2,Flooding,1,1973,1,0,0,"16,173"
2,Winter Weather,1,1973,2,2,0,"1,778,513"
2,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1973,1,0,0,"4,072"
4,Winter Weather,1,1973,2,0,0,"182,513"
4,Flooding,1,1973,1,0,0,"16,841"
4,Winter Weather,1,1973,2,2,0,"1,769,898"
3,Winter Weather,1,1973,2,0,0,"186,475"
3,Flooding,1,1973,1,0,0,"15,541"
3,Winter Weather,1,1973,2,3,0,"1,700,977"
5,Winter Weather,1,1973,2,0,0,"166,696"
5,Flooding,1,1973,1,0,0,"16,792"
5,Winter Weather,1,1973,2,3,0,"1,655,144"
6,Lightning/ Wind,1,1974,1,0,1,"18,552"
6,Lightning/ Wind,2,1974,1,0,0,"22,214"
6,Winter Weather,4,1974,2,0,0,"20,462"
1,Lightning/ Wind,1,1974,1,0,2,"18,473"
1,Winter Weather,1,1974,1,0,0,0
1,Hail/ Lightning/ Wind,1,1974,1,0,0,"18,482"
1,Lightning/ Wind,2,1974,1,0,9,"13,104"
1,Hail/ Wind,2,1974,1,0,5,"126,495"
1,Lightning/ Wind,2,1974,1,0,0,"22,441"
1,Winter Weather,4,1974,2,0,0,"18,944"
2,Lightning/ Wind,1,1974,1,0,1,"15,869"
2,Hail/ Lightning/ Wind,1,1974,1,0,0,"17,166"
2,Hail/ Lightning/ Wind,2,1974,1,0,0,"14,582"
2,Hail/ Severe Storm/Thunder Storm/ Wind,3,1974,1,0,0,"148,644"
4,Lightning/ Wind,1,1974,1,0,1,"18,187"
4,Hail/ Lightning/ Wind,1,1974,1,0,0,"18,156"
4,Lightning/ Wind,2,1974,1,0,0,"21,686"
4,Lightning/ Severe Storm/Thunder Storm/ Wind,2,1974,1,0,0,"41,407"
4,Winter Weather,4,1974,2,0,0,"21,213"
3,Lightning/ Wind,1,1974,1,0,1,"15,952"
3,Hail/ Lightning/ Wind,1,1974,1,0,0,"17,811"
3,Lightning/ Wind,2,1974,1,0,0,"20,918"
3,Lightning/ Severe Storm/Thunder Storm/ Wind,2,1974,1,0,0,"45,086"
3,Hail/ Severe Storm/Thunder Storm/ Wind,3,1974,1,0,0,"145,346"
3,Winter Weather,4,1974,2,0,0,"22,087"
5,Lightning/ Wind,1,1974,1,0,2,"17,402"
5,Hail/ Lightning/ Wind,1,1974,1,0,0,"18,390"
5,Lightning/ Wind,2,1974,1,0,0,"19,871"
5,Lightning/ Severe Storm/Thunder Storm/ Wind,2,1974,1,0,0,"37,732"
5,Winter Weather,4,1974,2,0,0,"22,276"
2,Wind,1,1976,1,0,3,"328,027"
4,Wind,1,1976,1,0,2,"314,421"
5,Wind,1,1976,1,0,1,"360,291"
4,Severe Storm/Thunder Storm/ Wind,1,1976,1,0,0,"203,513"
2,Hail,2,1976,1,0,0,"84,958"
1,Hail/ Lightning/ Wind,2,1976,1,0,0,"9,483"
4,Hail/ Lightning/ Wind,2,1976,1,0,0,"9,280"
1,Flooding,2,1976,2,7,27,"2,620,856"
1,Lightning,2,1976,1,0,0,"41,654"
1,Flooding/ Severe Storm/Thunder Storm,4,1976,1,0,0,"858,306"
1,Flooding/ Severe Storm/Thunder Storm,4,1976,2,0,4,"1,375,553"
6,Flooding,4,1976,11,0,0,"172,485"
1,Flooding,4,1976,11,0,0,"176,500"
2,Flooding,4,1976,11,0,0,"161,269"
4,Flooding,4,1976,11,0,0,"188,302"
3,Flooding,4,1976,11,0,0,"159,925"
5,Flooding,4,1976,11,0,0,"173,967"
4,Lightning/ Wind,4,1976,1,0,0,"24,087"
3,Lightning/ Wind,4,1976,1,0,0,"23,321"
5,Lightning/ Wind,4,1976,1,0,0,"22,049"
2,Lightning/ Wind,4,1976,1,0,0,"23,350"
2,Severe Storm/Thunder Storm/ Wind,1,1976,1,0,0,"201,888"
1,Hail/ Lightning/ Wind,2,1977,1,0,0,"42,694"
6,Lightning/ Wind,3,1977,1,0,0,"18,473"
1,Lightning/ Wind,3,1977,1,0,0,"15,730"
2,Lightning/ Wind,3,1977,1,0,0,"18,730"
4,Lightning/ Wind,3,1977,1,0,0,"18,752"
3,Lightning/ Wind,3,1977,1,0,0,"18,458"
5,Lightning/ Wind,3,1977,1,0,0,"16,257"
6,Drought/ Heat,3,1977,31,0,0,"16,050"
1,Drought/ Heat,3,1977,31,0,0,"18,427"
2,Drought/ Heat,3,1977,31,0,0,"16,348"
4,Drought/ Heat,3,1977,31,0,0,"15,759"
3,Drought/ Heat,3,1977,31,0,0,"17,161"
5,Drought/ Heat,3,1977,31,0,0,"17,306"
1,Flooding/ Severe Storm/Thunder Storm,4,1977,2,0,0,"399,192"
2,Wind,1,1978,2,0,0,"62,197"
6,Flooding/ Wind,1,1978,2,0,0,"187,802"
1,Flooding/ Wind,1,1978,2,0,0,"167,420"
2,Flooding/ Wind,1,1978,2,0,0,"184,287"
4,Flooding/ Wind,1,1978,2,0,0,"179,394"
3,Flooding/ Wind,1,1978,2,0,0,"169,263"
5,Flooding/ Wind,1,1978,2,0,0,"161,337"
2,Hail,1,1978,1,0,0,"6,711"
6,Drought,2,1978,13,0,0,166
1,Drought,2,1978,13,0,0,181
2,Drought,2,1978,13,0,0,162
4,Drought,2,1978,13,0,0,184
3,Drought,2,1978,13,0,0,159
5,Drought,2,1978,13,0,0,157
1,Flooding/ Severe Storm/Thunder Storm,3,1978,2,0,0,"2,036,585"
6,Drought/ Heat,4,1978,31,0,0,"1,823"
1,Drought/ Heat,4,1978,31,0,0,"1,635"
2,Drought/ Heat,4,1978,31,0,0,"1,762"
4,Drought/ Heat,4,1978,31,0,0,"1,553"
3,Drought/ Heat,4,1978,31,0,0,"1,796"
5,Drought/ Heat,4,1978,31,0,0,"1,589"
6,Wind,1,1981,1,0,0,"16,827"
1,Wind,1,1981,1,0,0,"16,829"
2,Wind,1,1981,1,0,0,"18,530"
4,Wind,1,1981,1,0,0,"18,821"
3,Wind,1,1981,1,0,0,"18,635"
5,Wind,1,1981,1,0,0,"16,240"
2,Coastal/ Wind,1,1981,1,43,0,"358,928"
3,Lightning/ Severe Storm/Thunder Storm/ Wind,3,1981,1,0,5,"196,875"
2,Hurricane/Tropical Storm/ Severe Storm/Thunder Storm,3,1981,1,0,0,"2,381,419"
2,Coastal/ Flooding,4,1981,4,0,0,"113,525"
1,Winter Weather,4,1981,1,0,0,"119,996"
1,Winter Weather,1,1984,1,0,0,"28,137"
2,Winter Weather,1,1984,1,0,0,"27,141"
3,Winter Weather,1,1984,1,0,0,"30,353"
5,Winter Weather,1,1984,1,0,0,"25,998"
5,Lightning,1,1984,1,0,0,"772,785"
6,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,"16,953"
1,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,"18,120"
2,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,"18,167"
4,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,"17,574"
3,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,"18,907"
5,Flooding/ Severe Storm/Thunder Storm/ Wind,1,1984,1,0,0,"16,167"
1,Hail/ Wind,1,1984,1,0,0,"769,139"
3,Hail,1,1984,1,0,0,"373,116"
4,Flooding/ Severe Storm/Thunder Storm,2,1984,1,11,0,"745,519"
6,Drought,2,1984,20,0,0,0
1,Drought,2,1984,20,0,0,0
2,Drought,2,1984,20,0,0,0
4,Drought,2,1984,20,0,0,0
3,Drought,2,1984,20,0,0,0
5,Drought,2,1984,20,0,0,0
6,Hail/ Lightning/ Severe Storm/Thunder Storm/ Wind,2,1984,1,0,0,"16,446"
