Year,Quarter,Region,Low Emissions,Medium Emissions,High Emissions,Very High Emissions,,,,
2022,4,3,"$4,474,036.24","$4,218,647.78","$4,381,859.65","$4,461,402.30",,,,
2022,4,4,"$1,240,488.78","$1,193,159.71","$1,031,731.85","$1,043,665.91",,,,
2022,4,5,"$924,181.35","$876,971.60","$930,949.65","$926,398.56",,,,
2022,4,6,"$894,489.30","$905,310.27","$860,850.04","$894,141.97",,,,
2023,1,1,"$2,622,774.92","$2,566,087.75","$2,710,838.94","$2,490,846.86",,,,
2023,1,2,"$6,981,736.41","$6,182,447.65","$9,160,310.82","$6,012,844.64",,,,
2023,1,3,"$333,522.94","$332,917.94","$372,256.53","$338,072.62",,,,
2023,1,4,"$399,560.66","$414,105.00","$402,967.33","$436,920.41",,,,
2023,1,5,"$4,520,274.19","$4,267,853.19","$5,277,312.97","$8,395,352.18",,,,
2023,1,6,"$9,835,884.94","$5,034,933.66","$12,047,916.55","$7,447,876.91",,,,
2023,2,1,"$2,509,312.11","$2,479,921.36","$2,520,437.86","$2,419,353.64",,,,
2023,2,2,"$10,998,430.63","$9,460,063.98","$7,968,826.07","$8,731,555.86",,,,
2023,2,3,"$1,130,421.06","$1,195,395.24","$1,178,197.15","$1,180,831.61",,,,
2023,2,4,"$812,141.34","$866,527.70","$842,358.65","$853,929.44",,,,
2023,2,5,"$7,525,912.54","$7,711,587.87","$7,105,555.68","$7,456,238.44",,,,
2023,2,6,"$10,930,361.39","$10,795,470.49","$10,017,498.61","$8,214,451.59",,,,
2023,3,1,"$146,842,842.49","$173,351,905.14","$143,057,306.82","$136,558,929.62",,,,
2023,3,2,"$81,428,757.73","$94,032,008.41","$85,775,907.87","$82,282,719.15",,,,
2023,3,3,"$41,752,308.87","$38,920,214.22","$36,250,568.87","$52,740,403.35",,,,
2023,3,4,"$44,253,700.15","$43,399,271.28","$73,040,579.16","$59,705,619.22",,,,
2023,3,5,"$50,976,729.58","$104,887,571.99","$75,014,069.57","$53,785,423.39",,,,
2023,3,6,"$88,755,243.72","$102,633,490.46","$120,696,841.46","$83,542,145.12",,,,
2023,4,1,"$5,156,762.71","$5,485,930.20","$5,399,797.03","$6,092,775.74",,,,
2023,4,2,"$6,454,223.11","$6,739,251.13","$6,949,818.61","$7,319,610.90",,,,
2023,4,3,"$4,354,377.08","$4,380,735.43","$4,627,239.31","$4,653,036.95",,,,
2023,4,4,"$1,082,142.27","$1,070,874.85","$1,266,050.97","$1,125,789.74",,,,
2023,4,5,"$1,103,244.86","$971,272.59","$955,840.03","$943,286.66",,,,
2023,4,6,"$879,009.28","$940,096.57","$869,461.38","$903,046.91",,,,
2024,1,1,"$2,622,019.13","$2,604,338.81","$2,747,770.12","$2,654,622.74",,,,
2024,1,2,"$7,008,958.21","$7,887,775.51","$6,519,959.51","$5,253,068.08",,,,
2024,1,3,"$351,245.32","$374,517.90","$351,595.18","$383,543.12",,,,
2024,1,4,"$402,410.89","$386,798.25","$434,013.47","$419,801.43",,,,
2024,1,5,"$4,705,963.14","$3,511,045.08","$4,747,863.90","$7,389,473.37",,,,
2024,1,6,"$7,121,722.26","$8,745,459.13","$5,751,899.06","$7,079,743.46",,,,
2024,2,1,"$2,467,226.17","$2,480,255.32","$2,460,150.63","$2,566,895.30",,,,
2024,2,2,"$8,193,539.27","$10,671,325.23","$8,307,113.34","$9,127,702.68",,,,
2024,2,3,"$1,178,304.92","$1,195,704.90","$1,199,830.76","$1,185,181.74",,,,
2024,2,4,"$864,894.47","$867,646.69","$847,851.16","$896,171.34",,,,
2024,2,5,"$5,828,457.02","$6,370,511.56","$7,437,302.94","$6,241,303.96",,,,
2024,2,6,"$9,841,427.76","$8,850,322.93","$10,001,903.54","$7,867,960.12",,,,
2024,3,1,"$186,737,384.49","$174,894,550.88","$123,728,162.93","$146,613,826.29",,,,
2024,3,2,"$56,278,610.50","$85,856,432.27","$109,397,160.58","$71,252,141.13",,,,
2024,3,3,"$31,888,026.54","$46,273,410.68","$34,317,381.98","$40,581,923.74",,,,
2024,3,4,"$66,181,177.56","$41,715,417.06","$65,471,465.20","$65,844,854.26",,,,
2024,3,5,"$57,700,694.10","$73,656,901.95","$96,122,157.81","$58,511,643.03",,,,
2024,3,6,"$114,899,698.42","$75,607,709.29","$102,558,904.44","$117,123,611.58",,,,
2024,4,1,"$5,574,998.05","$5,580,779.78","$5,804,392.50","$5,764,678.20",,,,
2024,4,2,"$6,444,520.89","$7,298,389.59","$6,638,824.85","$6,742,623.60",,,,
2024,4,3,"$4,328,240.86","$4,485,101.71","$4,747,239.20","$4,475,855.24",,,,
2024,4,4,"$1,130,545.05","$1,176,572.77","$1,222,009.03","$1,153,259.66",,,,
2024,4,5,"$953,460.15","$966,541.82","$993,455.03","$962,683.90",,,,
2024,4,6,"$1,115,786.53","$963,423.27","$957,683.76","$959,290.76",,,,
2025,1,1,"$2,735,921.96","$2,731,286.68","$2,663,987.97","$2,723,447.76",,,,
2025,1,2,"$6,637,438.99","$8,894,456.46","$6,132,177.69","$6,909,668.84",,,,
2025,1,3,"$372,710.66","$333,228.10","$380,668.77","$369,318.40",,,,
2025,1,4,"$419,077.30","$449,178.65","$471,915.04","$442,164.50",,,,
2025,1,5,"$4,625,606.68","$7,642,967.99","$4,480,911.78","$6,199,366.04",,,,
2025,1,6,"$8,410,226.48","$6,799,977.74","$6,451,253.03","$7,190,632.22",,,,
2025,2,1,"$2,488,721.33","$2,575,149.75","$2,521,960.34","$2,480,930.51",,,,
2025,2,2,"$9,290,847.99","$9,427,736.59","$8,752,868.85","$9,405,922.79",,,,
2025,2,3,"$1,152,725.52","$1,207,944.29","$1,196,458.15","$1,211,891.84",,,,
2025,2,4,"$841,290.71","$817,200.08","$910,464.87","$884,360.34",,,,
2025,2,5,"$6,656,040.93","$7,746,710.12","$7,039,834.18","$7,959,721.83",,,,
2025,2,6,"$9,208,200.94","$11,241,728.53","$11,623,110.51","$8,877,904.90",,,,
2025,3,1,"$151,956,327.10","$163,799,804.18","$159,956,824.24","$185,773,207.16",,,,
2025,3,2,"$68,512,122.79","$44,078,052.58","$98,595,097.87","$83,349,449.97",,,,
2025,3,3,"$30,106,730.70","$34,894,476.70","$32,284,632.03","$40,861,124.63",,,,
2025,3,4,"$59,642,835.29","$56,527,675.83","$43,258,320.74","$47,196,268.92",,,,
2025,3,5,"$73,576,019.67","$48,915,207.85","$68,740,442.02","$82,107,960.44",,,,
2025,3,6,"$94,554,560.39","$76,232,650.32","$111,310,503.98","$78,030,930.65",,,,
2025,4,1,"$5,850,226.78","$5,751,075.44","$5,859,318.13","$5,791,985.38",,,,
2025,4,2,"$7,149,059.80","$7,028,025.52","$6,785,697.35","$7,624,006.48",,,,
2025,4,3,"$4,631,064.08","$4,433,626.00","$4,652,409.47","$5,123,100.31",,,,
2025,4,4,"$1,171,921.13","$1,228,395.05","$1,116,227.44","$1,214,763.91",,,,
2025,4,5,"$1,013,324.28","$854,276.43","$1,082,870.17","$1,089,406.17",,,,
2025,4,6,"$935,182.83","$944,758.49","$1,056,290.73","$992,642.80",,,,
2026,1,1,"$2,858,302.26","$2,755,404.25","$2,712,406.56","$2,635,506.32",,,,
2026,1,2,"$7,464,046.12","$6,590,822.92","$5,987,292.45","$7,666,102.32",,,,
2026,1,3,"$351,987.58","$360,645.22","$327,050.54","$390,927.04",,,,
2026,1,4,"$426,354.24","$412,157.41","$414,789.56","$402,269.47",,,,
2026,1,5,"$4,895,137.21","$5,601,434.85","$4,557,852.08","$5,977,265.33",,,,
2026,1,6,"$6,762,214.53","$8,375,099.31","$8,956,875.77","$6,024,518.20",,,,
2026,2,1,"$2,692,087.50","$2,695,592.59","$2,481,357.23","$2,693,167.49",,,,
2026,2,2,"$10,591,065.94","$9,291,724.16","$10,801,722.98","$8,366,754.53",,,,
2026,2,3,"$1,209,118.05","$1,211,548.45","$1,218,458.61","$1,224,062.45",,,,
2026,2,4,"$857,603.61","$884,529.85","$854,233.60","$876,629.16",,,,
2026,2,5,"$9,117,774.15","$9,933,648.44","$7,844,759.32","$7,908,831.22",,,,
2026,2,6,"$7,623,095.78","$10,097,863.76","$10,673,323.25","$8,931,795.81",,,,
2026,3,1,"$123,112,357.07","$200,736,886.29","$178,268,915.91","$139,536,863.29",,,,
2026,3,2,"$68,442,061.69","$66,253,123.37","$70,250,906.85","$89,909,910.37",,,,
2026,3,3,"$46,806,087.29","$43,051,029.10","$38,370,562.04","$52,605,562.72",,,,
2026,3,4,"$48,902,993.52","$46,672,459.92","$45,961,206.02","$50,996,715.23",,,,
2026,3,5,"$62,935,177.75","$83,015,555.60","$59,680,770.75","$63,308,516.73",,,,
2026,3,6,"$103,897,088.34","$78,836,034.25","$110,744,330.17","$106,282,616.95",,,,
2026,4,1,"$5,540,148.02","$5,395,724.54","$5,430,133.38","$5,893,796.51",,,,
2026,4,2,"$7,207,901.80","$7,213,294.10","$7,500,768.59","$7,093,674.03",,,,
2026,4,3,"$4,750,202.21","$4,687,772.89","$4,708,212.84","$4,833,934.02",,,,
2026,4,4,"$1,229,586.06","$1,158,857.38","$1,272,731.85","$1,165,228.78",,,,
2026,4,5,"$1,026,616.60","$1,053,740.03","$1,004,613.08","$992,220.31",,,,
2026,4,6,"$976,574.71","$917,874.59","$983,220.82","$885,853.63",,,,
2027,1,1,"$2,756,150.11","$2,585,694.55","$2,801,656.96","$2,833,017.12",,,,
2027,1,2,"$6,717,384.05","$7,495,535.65","$5,960,771.59","$10,305,174.98",,,,
2027,1,3,"$354,737.32","$367,599.10","$391,923.95","$415,727.89",,,,
2027,1,4,"$406,783.29","$425,870.28","$419,335.22","$431,564.18",,,,
2027,1,5,"$5,255,087.14","$6,505,511.93","$6,903,386.98","$5,635,669.15",,,,
2027,1,6,"$9,739,535.92","$8,462,910.02","$6,877,218.38","$7,496,325.94",,,,
2027,2,1,"$2,591,908.46","$2,627,151.81","$2,716,895.72","$2,804,579.48",,,,
2027,2,2,"$9,102,522.31","$8,659,251.16","$9,765,697.26","$8,962,092.72",,,,
2027,2,3,"$1,212,958.27","$1,211,253.61","$1,265,777.06","$1,279,747.09",,,,
2027,2,4,"$882,473.71","$908,093.20","$915,121.68","$881,320.26",,,,
2027,2,5,"$8,426,115.14","$9,095,883.27","$8,367,401.40","$10,461,311.27",,,,
2027,2,6,"$7,486,569.51","$10,136,840.73","$8,566,749.12","$9,110,672.41",,,,
2027,3,1,"$173,445,659.25","$143,241,644.06","$180,736,408.90","$234,923,127.01",,,,
2027,3,2,"$94,190,766.81","$77,683,092.75","$64,626,167.16","$72,590,536.21",,,,
2027,3,3,"$41,218,670.67","$46,273,370.20","$53,758,493.23","$50,115,055.35",,,,
2027,3,4,"$52,224,510.55","$49,676,142.18","$56,664,790.30","$52,417,519.41",,,,
2027,3,5,"$80,837,559.78","$63,005,753.17","$51,132,587.96","$77,639,659.50",,,,
2027,3,6,"$68,261,663.71","$81,508,915.78","$120,239,486.39","$93,186,053.79",,,,
2027,4,1,"$5,720,741.92","$5,811,778.83","$5,804,449.67","$5,705,956.99",,,,
2027,4,2,"$6,754,369.32","$6,806,805.32","$7,295,998.41","$7,323,377.70",,,,
2027,4,3,"$4,643,937.38","$4,303,657.73","$4,569,159.45","$4,555,896.86",,,,
2027,4,4,"$1,166,459.65","$1,156,792.68","$1,243,743.62","$1,314,084.56",,,,
2027,4,5,"$1,119,367.06","$1,102,627.06","$968,315.25","$1,056,643.77",,,,
2027,4,6,"$948,009.44","$936,272.48","$929,790.42","$998,765.36",,,,
2028,1,1,"$2,663,190.37","$2,716,044.96","$2,826,043.72","$2,896,723.94",,,,
2028,1,2,"$7,031,934.98","$6,467,687.60","$7,629,617.93","$7,364,866.38",,,,
2028,1,3,"$363,559.17","$363,941.42","$382,023.63","$368,387.93",,,,
2028,1,4,"$406,721.21","$398,613.84","$420,075.79","$417,345.37",,,,
2028,1,5,"$5,340,866.63","$6,714,004.62","$6,885,208.52","$6,067,437.53",,,,
2028,1,6,"$5,399,915.69","$8,245,210.10","$7,214,327.44","$9,253,939.68",,,,
2028,2,1,"$2,570,323.97","$2,528,505.12","$2,534,762.30","$2,544,712.99",,,,
2028,2,2,"$8,002,730.39","$9,713,411.95","$11,463,304.18","$9,949,799.85",,,,
2028,2,3,"$1,205,162.94","$1,252,255.79","$1,295,401.75","$1,279,032.59",,,,
2028,2,4,"$864,963.40","$898,473.79","$931,149.01","$958,207.21",,,,
2028,2,5,"$5,939,630.48","$7,386,521.57","$6,554,249.61","$6,695,017.97",,,,
2028,2,6,"$8,965,550.74","$8,409,134.29","$9,037,088.33","$10,835,858.88",,,,
2028,3,1,"$119,285,847.01","$214,472,889.23","$150,370,593.11","$149,625,067.86",,,,
2028,3,2,"$91,274,638.81","$75,580,310.95","$81,085,066.43","$100,467,087.34",,,,
2028,3,3,"$39,643,044.49","$36,522,128.44","$46,109,068.13","$43,959,403.35",,,,
2028,3,4,"$68,910,222.27","$63,867,200.21","$52,501,008.50","$59,115,739.55",,,,
2028,3,5,"$73,808,136.60","$54,672,213.32","$87,937,755.08","$101,767,515.60",,,,
2028,3,6,"$101,249,617.83","$76,030,599.02","$74,826,636.70","$63,942,536.11",,,,
2028,4,1,"$5,612,904.05","$5,835,917.29","$6,041,175.16","$5,547,821.35",,,,
2028,4,2,"$6,682,086.41","$6,994,014.16","$7,601,520.37","$6,984,774.38",,,,
2028,4,3,"$4,379,113.67","$4,980,965.83","$4,785,336.68","$4,932,245.02",,,,
2028,4,4,"$1,184,879.30","$1,164,678.80","$1,172,715.00","$1,368,631.21",,,,
2028,4,5,"$1,097,270.04","$1,022,008.73","$1,111,953.49","$1,072,289.79",,,,
2028,4,6,"$935,500.85","$1,072,320.51","$1,084,209.30","$1,074,468.49",,,,
2029,1,1,"$2,911,982.82","$2,776,890.97","$2,848,975.05","$2,856,439.94",,,,
2029,1,2,"$8,030,757.31","$6,340,620.17","$7,883,733.33","$5,893,988.21",,,,
2029,1,3,"$387,001.75","$393,554.74","$377,946.90","$391,809.93",,,,
2029,1,4,"$441,353.24","$425,766.91","$443,869.25","$508,765.36",,,,
2029,1,5,"$4,793,400.63","$6,504,587.54","$6,310,677.78","$4,854,501.65",,,,
2029,1,6,"$8,060,011.28","$5,250,098.75","$8,416,899.51","$5,052,932.86",,,,
2029,2,1,"$2,631,809.89","$2,703,081.43","$2,627,237.49","$2,835,577.81",,,,
2029,2,2,"$10,498,549.08","$9,450,767.56","$10,573,797.58","$11,751,286.68",,,,
2029,2,3,"$1,245,009.92","$1,253,541.74","$1,288,469.04","$1,292,680.72",,,,
2029,2,4,"$865,817.73","$912,942.59","$890,039.19","$949,672.35",,,,
2029,2,5,"$9,330,127.33","$8,128,579.54","$8,581,808.50","$9,961,056.62",,,,
2029,2,6,"$9,493,177.36","$11,486,016.92","$10,941,633.85","$9,315,967.80",,,,
2029,3,1,"$153,098,867.60","$153,705,725.84","$172,933,353.97","$124,587,054.39",,,,
2029,3,2,"$70,772,761.37","$83,761,336.71","$78,176,715.70","$71,400,527.85",,,,
2029,3,3,"$34,165,341.11","$57,020,514.70","$50,279,358.45","$42,067,489.63",,,,
2029,3,4,"$48,878,830.95","$64,965,383.76","$57,228,720.04","$57,418,514.51",,,,
2029,3,5,"$68,597,519.77","$95,881,499.64","$59,849,277.77","$60,657,903.48",,,,
2029,3,6,"$112,421,576.02","$90,954,553.65","$92,619,369.67","$89,468,068.01",,,,
2029,4,1,"$5,395,829.30","$6,359,426.91","$5,922,189.32","$6,113,368.74",,,,
2029,4,2,"$7,602,147.31","$7,383,410.81","$7,085,369.45","$7,562,324.12",,,,
2029,4,3,"$4,638,898.15","$4,389,992.81","$4,762,140.65","$4,920,399.14",,,,
2029,4,4,"$1,209,202.75","$1,160,051.81","$1,236,841.27","$1,223,436.06",,,,
2029,4,5,"$1,133,787.95","$1,027,318.12","$1,069,371.81","$1,092,016.11",,,,
2029,4,6,"$1,003,171.34","$1,009,329.26","$1,163,864.48","$1,099,534.14",,,,
2030,1,1,"$2,686,243.86","$2,772,034.12","$2,878,838.90","$3,004,395.29",,,,
2030,1,2,"$7,082,890.14","$6,094,313.46","$5,955,255.95","$7,387,701.23",,,,
2030,1,3,"$373,551.97","$396,099.20","$370,917.31","$366,934.72",,,,
2030,1,4,"$424,483.39","$443,684.81","$419,144.22","$441,816.90",,,,
2030,1,5,"$5,294,452.68","$5,681,445.07","$6,794,125.52","$7,939,349.83",,,,
2030,1,6,"$7,715,511.15","$7,898,049.55","$7,708,653.45","$8,161,070.46",,,,
2030,2,1,"$2,739,011.54","$2,668,691.25","$2,653,098.38","$2,792,657.30",,,,
2030,2,2,"$9,690,099.06","$9,551,603.26","$9,384,974.47","$12,854,913.47",,,,
2030,2,3,"$1,264,924.59","$1,280,571.59","$1,276,950.73","$1,295,363.45",,,,
2030,2,4,"$911,464.70","$918,506.01","$940,470.57","$989,716.15",,,,
2030,2,5,"$7,718,377.39","$7,417,668.96","$7,156,541.87","$8,751,234.33",,,,
2030,2,6,"$10,288,041.57","$9,070,002.74","$9,513,050.16","$9,232,472.52",,,,
2030,3,1,"$139,275,807.22","$192,875,418.73","$144,525,618.48","$191,126,689.16",,,,
2030,3,2,"$86,916,077.11","$105,330,127.79","$83,894,582.10","$95,520,278.35",,,,
2030,3,3,"$45,145,738.16","$58,541,119.01","$53,574,822.09","$51,581,529.92",,,,
2030,3,4,"$71,923,810.68","$72,639,302.67","$55,200,830.59","$56,831,751.81",,,,
2030,3,5,"$79,467,254.67","$42,036,431.49","$84,873,932.47","$82,297,131.94",,,,
2030,3,6,"$116,014,160.24","$108,105,474.09","$90,828,616.26","$75,859,272.81",,,,
2030,4,1,"$5,900,182.23","$6,084,477.16","$6,542,217.75","$5,852,274.77",,,,
2030,4,2,"$7,561,004.96","$7,862,866.46","$7,712,143.43","$7,425,539.55",,,,
2030,4,3,"$4,723,498.87","$4,660,734.41","$4,836,998.98","$5,153,163.46",,,,
2030,4,4,"$1,219,481.21","$1,141,270.96","$1,190,091.68","$1,372,214.92",,,,
2030,4,5,"$1,123,256.07","$1,044,590.55","$1,047,852.32","$1,021,675.09",,,,
2030,4,6,"$1,069,744.82","$1,056,125.09","$919,129.15","$1,070,314.11",,,,
2031,1,1,"$2,698,303.63","$2,875,009.96","$2,888,283.61","$3,094,388.55",,,,
2031,1,2,"$8,539,830.47","$7,475,660.97","$8,204,529.16","$6,939,647.71",,,,
2031,1,3,"$368,426.35","$382,967.51","$373,361.50","$404,027.00",,,,
2031,1,4,"$402,863.58","$420,073.22","$433,021.47","$478,716.49",,,,
2031,1,5,"$6,677,396.82","$4,550,754.57","$5,568,378.86","$7,792,762.06",,,,
2031,1,6,"$7,718,797.80","$6,462,433.99","$6,492,692.34","$7,662,435.70",,,,
2031,2,1,"$2,540,922.38","$2,573,664.93","$2,639,419.49","$2,724,165.46",,,,
2031,2,2,"$9,350,210.75","$9,242,412.81","$8,588,438.44","$12,773,835.16",,,,
2031,2,3,"$1,249,004.28","$1,250,973.46","$1,316,780.89","$1,366,961.81",,,,
2031,2,4,"$847,491.86","$878,705.38","$948,774.32","$948,848.03",,,,
2031,2,5,"$5,901,921.09","$9,078,176.66","$7,205,098.07","$8,370,402.95",,,,
2031,2,6,"$8,449,060.04","$8,623,838.21","$13,163,017.36","$12,514,502.89",,,,
2031,3,1,"$152,101,515.95","$178,433,514.80","$156,272,864.63","$188,748,888.14",,,,
2031,3,2,"$110,528,548.70","$88,250,242.77","$79,255,378.82","$101,527,282.97",,,,
2031,3,3,"$42,046,765.68","$59,586,868.98","$52,323,674.14","$56,451,064.09",,,,
2031,3,4,"$61,441,910.69","$62,394,832.49","$77,956,380.49","$60,684,316.80",,,,
2031,3,5,"$63,932,679.86","$66,832,693.43","$88,002,710.72","$94,674,209.32",,,,
2031,3,6,"$102,027,665.29","$89,274,889.36","$88,891,835.36","$106,082,443.92",,,,
2031,4,1,"$5,484,393.60","$5,988,745.02","$6,276,302.56","$6,249,584.03",,,,
2031,4,2,"$7,174,658.22","$7,487,153.98","$7,557,736.54","$8,098,142.46",,,,
2031,4,3,"$4,643,199.13","$4,928,387.05","$5,205,103.65","$5,383,290.45",,,,
2031,4,4,"$1,216,449.73","$1,184,935.63","$1,308,731.60","$1,367,569.12",,,,
2031,4,5,"$1,000,784.76","$1,131,926.70","$1,079,900.65","$1,113,251.36",,,,
2031,4,6,"$989,608.11","$1,122,459.87","$1,096,298.64","$1,096,762.67",,,,
2032,1,1,"$2,735,265.55","$2,799,099.56","$3,049,729.23","$3,025,615.20",,,,
2032,1,2,"$6,736,581.89","$8,521,962.57","$7,640,292.28","$7,894,335.04",,,,
2032,1,3,"$387,536.27","$382,471.19","$380,953.93","$423,514.40",,,,
2032,1,4,"$433,857.53","$431,999.49","$472,628.26","$459,541.24",,,,
2032,1,5,"$7,176,673.87","$5,377,657.58","$6,840,417.18","$5,884,210.41",,,,
2032,1,6,"$7,421,584.23","$6,606,847.01","$10,208,866.33","$8,218,385.51",,,,
2032,2,1,"$2,480,607.90","$2,735,739.66","$2,787,081.84","$2,857,360.32",,,,
2032,2,2,"$9,749,094.15","$10,597,268.81","$9,224,338.19","$8,972,430.72",,,,
2032,2,3,"$1,241,313.17","$1,300,604.61","$1,327,876.54","$1,378,994.02",,,,
2032,2,4,"$903,723.24","$900,978.14","$1,020,540.54","$1,037,598.39",,,,
