Year,Quarter,Region,Low Emissions,Medium Emissions,High Emissions,Very High Emissions
2021,4,1,"$798,199,046.56","$798,038,607.33","$798,029,267.37","$798,196,293.17"
2021,4,2,"$742,986,501.34","$742,822,564.98","$742,904,563.78","$742,622,882.77"
2021,4,3,"$472,500,906.89","$472,758,597.61","$472,813,667.64","$472,723,488.99"
2021,4,4,"$65,496,768.75","$65,468,258.14","$65,546,042.72","$65,448,384.36"
2021,4,5,"$93,367,294.16","$93,355,344.25","$93,365,923.98","$93,416,553.52"
2021,4,6,"$29,294,805.45","$29,241,916.75","$29,297,807.12","$29,273,121.03"
2022,1,1,"$676,270,903.23","$676,294,192.05","$676,352,957.44","$676,353,476.36"
2022,1,2,"$629,726,819.26","$630,837,112.23","$631,210,118.59","$631,561,292.50"
2022,1,3,"$399,409,565.34","$399,392,366.10","$399,393,627.13","$399,411,311.91"
2022,1,4,"$55,278,467.84","$55,271,212.23","$55,270,703.87","$55,282,328.05"
2022,1,5,"$81,746,116.27","$81,803,900.84","$82,145,107.51","$83,474,200.06"
2022,1,6,"$27,849,081.17","$28,062,499.82","$28,257,379.27","$27,531,986.74"
2022,2,1,"$648,915,355.24","$648,891,630.50","$648,828,801.95","$648,878,717.18"
2022,2,2,"$606,986,834.00","$606,301,593.48","$607,246,440.54","$608,181,842.31"
2022,2,3,"$383,441,173.77","$383,439,510.37","$383,449,226.60","$383,454,155.17"
2022,2,4,"$53,247,241.59","$53,239,583.84","$53,243,400.90","$53,253,392.85"
2022,2,5,"$79,172,370.90","$78,601,798.90","$78,354,525.75","$79,341,134.49"
2022,2,6,"$27,855,092.43","$27,881,046.28","$26,793,285.53","$26,641,782.57"
2022,3,1,"$688,965,809.87","$700,569,806.61","$687,108,608.76","$687,520,138.22"
2022,3,2,"$620,551,588.77","$616,519,374.73","$612,899,599.36","$619,593,661.80"
2022,3,3,"$388,018,626.77","$383,979,562.47","$384,424,970.28","$386,821,199.88"
2022,3,4,"$70,403,527.53","$70,951,016.02","$77,860,477.24","$75,230,838.23"
2022,3,5,"$113,605,282.50","$102,776,141.40","$99,471,442.29","$95,042,921.85"
2022,3,6,"$65,675,165.16","$60,545,107.89","$64,321,103.46","$66,493,568.49"
2022,4,1,"$598,715,627.60","$598,815,882.03","$598,994,979.17","$598,984,685.58"
2022,4,2,"$557,690,507.04","$557,686,650.92","$557,868,656.42","$557,683,727.84"
2022,4,3,"$354,397,210.00","$354,180,479.13","$354,282,327.39","$354,277,142.20"
2022,4,4,"$49,231,970.68","$49,167,896.44","$49,146,959.06","$49,125,540.18"
2022,4,5,"$70,017,437.65","$69,961,135.99","$70,021,104.52","$70,025,807.73"
2022,4,6,"$22,038,950.54","$22,026,373.06","$22,032,457.08","$22,045,216.27"
2023,1,1,"$502,136,821.20","$502,121,606.01","$502,147,800.17","$502,085,896.53"
2023,1,2,"$469,426,886.74","$468,690,511.97","$469,838,222.36","$468,862,675.59"
2023,1,3,"$296,042,927.95","$296,040,726.78","$296,059,107.19","$296,048,786.09"
2023,1,4,"$41,016,877.13","$41,028,472.25","$41,015,512.35","$41,025,567.41"
2023,1,5,"$60,252,253.51","$60,966,309.65","$60,816,616.35","$62,342,740.79"
2023,1,6,"$22,390,792.18","$20,807,585.40","$23,446,326.01","$22,000,137.44"
2023,2,1,"$484,396,894.58","$484,407,327.71","$484,414,096.82","$484,350,974.38"
2023,2,2,"$454,836,211.85","$453,512,230.63","$452,783,297.62","$453,759,989.34"
2023,2,3,"$285,880,627.11","$285,919,858.36","$285,906,313.43","$285,906,660.16"
2023,2,4,"$39,763,976.04","$39,779,193.02","$39,772,884.49","$39,777,902.55"
2023,2,5,"$59,723,724.72","$60,066,235.35","$59,882,293.72","$60,009,117.29"
2023,2,6,"$23,143,178.90","$22,767,900.05","$21,533,888.14","$21,325,849.08"
2023,3,1,"$524,848,836.86","$527,472,412.19","$528,359,932.99","$512,749,855.54"
2023,3,2,"$466,529,909.49","$471,060,883.18","$467,959,749.36","$464,651,227.98"
2023,3,3,"$289,798,770.97","$289,505,015.15","$289,189,125.94","$293,450,257.80"
2023,3,4,"$54,748,840.45","$55,411,796.66","$67,729,802.29","$60,830,690.66"
2023,3,5,"$75,473,847.29","$92,685,435.34","$83,619,883.57","$74,500,958.43"
2023,3,6,"$52,746,071.62","$54,084,591.63","$67,612,425.07","$47,185,697.31"
2023,4,1,"$452,044,163.34","$452,247,064.41","$452,129,499.11","$452,554,284.09"
2023,4,2,"$421,191,171.73","$421,256,318.63","$421,484,562.05","$421,501,120.90"
2023,4,3,"$267,265,902.42","$267,211,106.23","$267,349,564.69","$267,370,462.82"
2023,4,4,"$37,134,769.26","$37,132,077.73","$37,210,117.80","$37,150,417.91"
2023,4,5,"$52,947,661.77","$52,871,076.69","$52,845,742.85","$52,888,235.99"
2023,4,6,"$16,684,295.79","$16,727,686.28","$16,683,036.65","$16,683,861.97"
2024,1,1,"$373,133,407.66","$373,145,475.36","$373,220,612.67","$373,156,165.16"
2024,1,2,"$348,700,523.69","$349,572,217.38","$349,238,612.92","$348,425,678.31"
2024,1,3,"$219,700,462.87","$219,711,388.18","$219,707,171.35","$219,708,965.08"
2024,1,4,"$30,482,445.15","$30,475,368.08","$30,486,192.85","$30,486,660.60"
2024,1,5,"$45,102,888.54","$45,003,122.75","$45,543,975.90","$46,720,086.52"
2024,1,6,"$16,876,887.29","$17,098,477.69","$16,106,946.87","$16,443,595.79"
2024,2,1,"$361,793,530.05","$361,843,300.67","$361,852,614.22","$361,844,798.91"
2024,2,2,"$339,099,843.34","$340,270,501.74","$339,225,241.05","$339,755,936.84"
2024,2,3,"$213,379,579.21","$213,393,433.66","$213,391,472.72","$213,390,249.11"
2024,2,4,"$29,753,450.42","$29,757,641.79","$29,749,514.28","$29,768,808.41"
2024,2,5,"$44,394,537.15","$44,322,694.17","$45,073,013.64","$45,213,935.79"
2024,2,6,"$17,306,354.99","$17,095,009.89","$17,799,697.68","$16,717,681.63"
2024,3,1,"$415,191,916.45","$411,760,558.06","$394,266,172.44","$403,192,775.45"
2024,3,2,"$345,368,045.60","$356,623,308.76","$359,136,768.49","$350,976,637.32"
2024,3,3,"$215,888,096.69","$221,562,308.57","$219,113,731.60","$220,429,120.29"
2024,3,4,"$51,871,856.63","$44,354,425.35","$52,471,418.42","$50,927,587.47"
2024,3,5,"$64,156,919.40","$65,773,759.06","$74,493,842.87","$59,255,400.98"
2024,3,6,"$55,559,407.48","$41,004,998.15","$50,994,750.45","$56,620,550.43"
2024,4,1,"$341,589,691.86","$341,624,391.00","$341,671,921.51","$341,638,711.79"
2024,4,2,"$318,297,919.61","$318,464,841.39","$318,319,515.98","$318,309,074.62"
2024,4,3,"$201,842,374.54","$201,710,296.44","$201,819,586.68","$201,819,956.32"
2024,4,4,"$28,101,183.54","$28,100,288.24","$28,135,338.72","$28,128,612.50"
2024,4,5,"$39,942,958.68","$39,919,998.83","$39,977,725.02","$39,931,046.23"
2024,4,6,"$12,742,132.20","$12,685,985.87","$12,705,058.68","$12,706,751.35"
2025,1,1,"$275,338,597.10","$275,301,441.24","$275,258,994.31","$275,312,650.74"
2025,1,2,"$257,554,259.03","$258,742,958.61","$257,837,209.55","$257,874,025.71"
2025,1,3,"$161,847,125.79","$161,829,807.48","$161,850,388.36","$161,844,869.01"
2025,1,4,"$22,492,408.17","$22,499,998.16","$22,509,989.10","$22,496,786.86"
2025,1,5,"$34,425,356.75","$34,969,794.45","$33,668,423.55","$34,446,357.03"
2025,1,6,"$13,360,370.73","$12,249,046.77","$11,944,680.55","$12,630,504.99"
2025,2,1,"$268,324,475.23","$268,364,861.17","$268,332,220.59","$268,330,383.71"
2025,2,2,"$252,323,156.65","$252,105,503.03","$252,105,812.33","$252,968,874.41"
2025,2,3,"$158,086,207.05","$158,109,417.41","$158,111,703.58","$158,115,612.13"
2025,2,4,"$22,097,104.71","$22,103,615.52","$22,124,931.37","$22,120,825.19"
2025,2,5,"$33,788,321.34","$34,672,066.79","$34,102,601.64","$33,777,747.98"
2025,2,6,"$13,079,837.57","$14,008,386.99","$13,992,645.23","$13,360,495.95"
2025,3,1,"$302,019,113.45","$307,522,486.99","$321,495,981.85","$322,683,383.84"
2025,3,2,"$262,787,734.43","$257,313,473.05","$278,089,121.74","$271,851,641.75"
2025,3,3,"$163,880,194.87","$164,996,071.33","$167,015,384.85","$166,576,684.95"
2025,3,4,"$40,055,790.85","$39,243,741.07","$34,024,153.53","$36,766,919.96"
2025,3,5,"$56,258,584.41","$43,562,526.49","$52,317,325.54","$54,634,599.27"
2025,3,6,"$39,545,987.49","$33,679,064.40","$44,106,574.90","$37,908,273.70"
2025,4,1,"$256,395,116.85","$256,425,536.77","$256,406,694.75","$256,342,062.41"
2025,4,2,"$239,012,614.63","$239,110,379.99","$239,150,313.08","$239,381,331.11"
2025,4,3,"$151,501,307.87","$151,334,583.18","$151,437,134.14","$151,673,951.95"
2025,4,4,"$21,160,258.40","$21,171,345.66","$21,146,006.55","$21,147,518.72"
2025,4,5,"$30,001,702.44","$29,929,722.14","$30,015,000.73","$30,009,164.00"
2025,4,6,"$9,580,340.20","$9,615,947.79","$9,602,171.27","$9,602,461.86"
2026,1,1,"$199,277,846.89","$199,250,680.88","$199,280,489.30","$199,247,964.70"
2026,1,2,"$187,078,656.24","$186,963,867.23","$187,289,171.62","$186,770,325.08"
2026,1,3,"$117,004,544.47","$117,008,090.88","$116,992,300.57","$117,020,750.22"
2026,1,4,"$16,304,387.30","$16,295,311.28","$16,297,979.16","$16,290,797.59"
2026,1,5,"$25,517,453.10","$25,286,577.23","$24,639,488.34","$25,473,367.66"
2026,1,6,"$9,450,176.75","$10,191,631.08","$10,613,464.68","$9,767,306.90"
2026,2,1,"$195,279,500.33","$195,287,565.87","$195,201,850.36","$195,274,717.48"
2026,2,2,"$184,743,563.13","$184,523,543.57","$184,320,410.99","$184,083,267.29"
2026,2,3,"$115,012,343.50","$115,005,061.75","$115,013,599.34","$115,012,528.91"
2026,2,4,"$16,147,786.26","$16,156,114.77","$16,145,832.91","$16,150,075.29"
2026,2,5,"$25,907,393.58","$26,092,290.61","$25,968,208.08","$25,959,339.10"
2026,2,6,"$9,940,031.40","$10,416,149.86","$10,938,459.46","$10,941,020.20"
2026,3,1,"$232,967,475.21","$250,019,308.99","$246,891,774.26","$225,444,009.24"
2026,3,2,"$199,705,192.38","$195,409,912.18","$197,605,005.96","$203,670,601.89"
2026,3,3,"$128,047,069.06","$123,634,965.80","$123,931,039.31","$128,150,758.52"
2026,3,4,"$30,462,465.87","$29,078,058.68","$28,797,395.43","$30,104,903.42"
2026,3,5,"$40,912,328.13","$45,789,850.20","$39,235,139.88","$44,411,160.16"
2026,3,6,"$38,794,519.67","$31,548,298.16","$37,763,423.74","$35,265,421.12"
2026,4,1,"$188,574,345.45","$188,639,462.98","$188,545,648.35","$188,754,159.51"
2026,4,2,"$176,116,225.07","$176,041,938.87","$176,208,600.75","$176,090,505.12"
2026,4,3,"$111,627,527.86","$111,569,730.72","$111,521,880.42","$111,678,410.39"
2026,4,4,"$15,651,791.43","$15,605,337.08","$15,681,697.80","$15,631,588.17"
2026,4,5,"$22,142,073.62","$22,124,018.70","$22,091,482.58","$22,104,695.36"
2026,4,6,"$7,154,263.99","$7,119,430.36","$7,156,125.63","$7,107,872.90"
2027,1,1,"$138,131,246.82","$138,073,395.26","$138,136,319.57","$138,162,133.95"
2027,1,2,"$130,350,695.62","$130,027,303.15","$129,587,106.85","$131,407,842.31"
2027,1,3,"$80,974,606.37","$80,982,000.63","$80,984,040.86","$80,996,976.69"
2027,1,4,"$11,315,696.70","$11,314,353.60","$11,319,319.26","$11,324,374.51"
2027,1,5,"$18,100,272.60","$18,794,567.47","$18,441,721.39","$18,121,922.64"
2027,1,6,"$8,745,062.03","$8,715,714.49","$7,630,440.91","$7,517,536.22"
2027,2,1,"$136,004,798.19","$136,043,798.45","$136,088,885.33","$136,136,841.36"
2027,2,2,"$128,666,084.67","$129,068,076.43","$129,188,901.65","$129,109,677.66"
2027,2,3,"$80,096,532.66","$80,094,317.24","$80,116,409.46","$80,122,891.20"
2027,2,4,"$11,317,793.31","$11,345,095.00","$11,331,498.36","$11,331,921.80"
2027,2,5,"$18,498,808.90","$18,865,285.69","$19,732,167.29","$19,640,442.17"
2027,2,6,"$8,071,893.52","$8,449,718.92","$8,368,353.69","$8,794,835.52"
2027,3,1,"$184,490,833.41","$174,206,797.53","$190,579,439.90","$207,461,819.56"
2027,3,2,"$153,819,184.13","$146,105,852.85","$143,271,967.17","$143,766,945.22"
2027,3,3,"$88,739,179.74","$92,527,057.64","$92,277,381.04","$91,462,528.04"
2027,3,4,"$28,605,470.83","$27,018,575.60","$25,974,591.45","$25,992,203.48"
2027,3,5,"$38,772,922.24","$34,800,602.34","$29,930,877.86","$40,565,407.93"
2027,3,6,"$21,105,786.06","$28,841,100.35","$43,421,675.44","$28,674,461.32"
2027,4,1,"$133,268,790.32","$133,107,233.74","$133,097,650.80","$133,125,456.20"
2027,4,2,"$124,213,250.54","$124,224,145.96","$124,465,548.37","$124,355,783.72"
2027,4,3,"$78,751,750.80","$78,669,888.75","$78,749,005.19","$78,746,261.57"
2027,4,4,"$11,141,800.55","$11,097,902.94","$11,150,333.26","$11,167,004.08"
2027,4,5,"$15,688,451.71","$15,656,693.06","$15,603,222.31","$15,671,759.98"
2027,4,6,"$5,077,149.54","$5,122,434.97","$5,109,844.29","$5,128,022.16"
2028,1,1,"$87,029,297.03","$87,022,917.12","$87,056,815.47","$87,096,008.56"
2028,1,2,"$82,788,660.17","$82,331,979.44","$82,383,840.92","$83,125,136.85"
2028,1,3,"$50,861,030.11","$50,866,848.57","$50,869,899.41","$50,862,950.81"
2028,1,4,"$7,150,195.05","$7,155,571.21","$7,149,887.61","$7,157,273.66"
2028,1,5,"$12,007,362.67","$12,408,665.27","$12,240,432.62","$12,161,764.79"
2028,1,6,"$4,936,686.47","$5,687,190.68","$5,227,855.80","$6,676,763.76"
2028,2,1,"$86,102,785.02","$86,103,842.55","$86,120,650.70","$86,126,470.56"
2028,2,2,"$82,684,874.33","$82,709,347.95","$83,479,110.33","$82,702,086.92"
2028,2,3,"$50,684,976.11","$50,698,314.58","$50,702,178.17","$50,713,049.38"
2028,2,4,"$7,252,899.96","$7,269,096.84","$7,280,675.46","$7,288,974.72"
2028,2,5,"$12,313,543.98","$12,383,308.74","$12,205,503.42","$12,228,956.05"
2028,2,6,"$6,559,529.48","$6,120,821.60","$6,115,413.25","$7,469,602.04"
2028,3,1,"$116,205,535.57","$142,523,866.40","$135,792,649.06","$125,649,146.32"
2028,3,2,"$104,620,504.49","$104,557,994.01","$101,026,006.43","$106,505,848.11"
2028,3,3,"$60,828,196.95","$60,648,492.66","$61,449,435.91","$62,379,612.51"
2028,3,4,"$26,980,493.48","$22,275,661.33","$26,010,531.88","$27,386,874.94"
2028,3,5,"$35,249,946.76","$26,536,178.17","$35,049,803.71","$40,467,513.61"
2028,3,6,"$31,785,349.78","$26,009,141.57","$23,010,160.13","$21,984,364.08"
2028,4,1,"$85,653,345.22","$85,612,498.17","$85,579,424.28","$85,517,985.42"
2028,4,2,"$79,928,189.39","$80,044,597.62","$80,184,687.59","$79,955,480.04"
2028,4,3,"$50,684,442.01","$50,828,550.37","$50,667,740.42","$50,783,036.20"
2028,4,4,"$7,233,729.85","$7,211,565.78","$7,228,792.47","$7,300,760.08"
2028,4,5,"$10,127,374.35","$10,093,246.32","$10,137,753.72","$10,124,998.71"
2028,4,6,"$3,361,418.37","$3,442,263.47","$3,407,307.30","$3,396,544.58"
2029,1,1,"$42,296,931.59","$42,314,426.91","$42,330,471.74","$42,352,855.29"
2029,1,2,"$40,782,904.99","$40,567,985.05","$41,060,606.67","$40,605,408.32"
2029,1,3,"$24,506,037.60","$24,498,781.88","$24,501,098.08","$24,505,441.94"
2029,1,4,"$3,517,435.85","$3,514,870.19","$3,521,478.27","$3,539,941.06"
2029,1,5,"$6,733,940.85","$7,174,053.80","$7,125,948.75","$6,433,400.11"
2029,1,6,"$4,391,533.98","$3,017,347.34","$4,347,084.50","$3,442,514.27"
2029,2,1,"$42,070,806.96","$42,070,075.75","$42,041,079.85","$42,126,674.88"
2029,2,2,"$41,520,055.86","$41,634,141.48","$41,817,866.53","$42,418,933.07"
2029,2,3,"$24,708,823.90","$24,720,190.97","$24,719,655.65","$24,715,143.80"
2029,2,4,"$3,659,132.63","$3,675,934.09","$3,679,595.54","$3,689,932.95"
2029,2,5,"$7,864,682.71","$7,397,328.99","$7,853,138.62","$8,307,289.40"
2029,2,6,"$5,011,141.20","$5,051,860.76","$5,794,900.43","$5,642,670.22"
2029,3,1,"$81,919,912.12","$90,091,876.83","$83,897,854.02","$73,532,657.38"
2029,3,2,"$55,287,736.65","$62,144,637.93","$63,499,016.01","$54,258,198.28"
2029,3,3,"$32,416,688.41","$42,242,184.30","$37,828,987.77","$36,142,929.84"
2029,3,4,"$16,854,950.12","$21,422,217.83","$19,614,413.47","$22,684,459.00"
2029,3,5,"$25,674,268.12","$27,924,303.93","$20,060,710.53","$21,476,645.03"
2029,3,6,"$38,037,132.99","$28,897,719.65","$24,914,812.57","$26,145,173.11"
2029,4,1,"$42,585,819.07","$42,902,739.39","$42,820,130.10","$42,920,867.02"
2029,4,2,"$40,257,691.93","$40,219,043.85","$40,234,479.46","$40,394,564.82"
2029,4,3,"$25,532,511.70","$25,424,950.44","$25,555,216.41","$25,588,773.18"
2029,4,4,"$3,776,088.23","$3,758,406.43","$3,753,444.95","$3,785,842.18"
2029,4,5,"$5,126,702.99","$5,136,134.10","$5,123,658.32","$5,155,092.31"
2029,4,6,"$1,831,143.04","$1,839,813.91","$1,901,142.10","$1,839,655.21"
2030,1,1,"$1,713,852.91","$1,740,015.91","$1,796,949.53","$1,811,553.41"
2030,1,2,"$3,336,598.97","$3,258,363.99","$3,023,590.92","$3,224,216.59"
2030,1,3,"$600,126.06","$605,935.75","$599,621.58","$605,145.56"
2030,1,4,"$214,502.30","$215,760.80","$212,068.25","$219,407.59"
2030,1,5,"$1,635,286.82","$2,091,240.55","$2,236,527.10","$2,995,610.28"
2030,1,6,"$3,086,287.38","$2,854,255.21","$3,030,606.69","$3,187,797.78"
2030,2,1,"$1,775,065.19","$1,733,115.96","$1,748,796.20","$1,812,849.68"
2030,2,2,"$3,851,662.02","$3,571,636.30","$4,065,959.41","$4,867,179.17"
2030,2,3,"$935,866.41","$941,082.64","$941,497.24","$953,946.47"
2030,2,4,"$397,677.76","$394,094.01","$404,538.30","$422,908.89"
2030,2,5,"$3,126,834.54","$2,870,916.32","$2,926,232.18","$2,600,387.33"
2030,2,6,"$3,839,692.90","$3,214,471.74","$3,016,185.13","$3,282,444.48"
2030,3,1,"$41,661,755.95","$53,070,138.43","$37,676,535.13","$49,658,888.88"
2030,3,2,"$25,140,210.77","$30,888,409.36","$22,134,487.74","$32,512,416.92"
2030,3,3,"$11,696,204.90","$14,579,927.22","$14,130,734.39","$14,502,675.51"
2030,3,4,"$21,379,951.91","$22,444,007.71","$14,051,919.92","$14,416,513.18"
2030,3,5,"$20,794,815.68","$12,573,347.06","$26,424,574.32","$22,732,910.29"
2030,3,6,"$29,827,767.63","$31,232,768.06","$26,135,754.10","$26,954,501.02"
2030,4,1,"$2,905,054.15","$2,939,213.28","$3,166,379.47","$2,942,839.29"
2030,4,2,"$3,194,512.76","$3,281,073.41","$3,437,927.81","$3,235,978.40"
2030,4,3,"$2,078,140.10","$1,987,923.93","$2,013,419.73","$2,182,227.64"
2030,4,4,"$504,423.94","$511,029.72","$501,365.22","$566,857.98"
2030,4,5,"$501,264.26","$475,669.63","$482,793.41","$491,021.07"
2030,4,6,"$415,222.58","$387,223.20","$387,841.46","$408,978.38"
2031,1,1,"$1,751,947.43","$1,790,566.96","$1,803,008.40","$1,857,862.32"
2031,1,2,"$3,875,211.09","$3,162,697.05","$3,621,794.85","$3,402,547.78"
2031,1,3,"$605,779.85","$600,504.83","$602,121.34","$610,640.82"
2031,1,4,"$203,356.21","$220,875.64","$218,561.76","$230,533.23"
2031,1,5,"$3,060,527.58","$1,620,483.90","$1,993,480.08","$2,579,591.29"
2031,1,6,"$2,579,361.82","$2,506,315.26","$2,340,591.91","$2,655,657.87"
2031,2,1,"$1,723,912.19","$1,743,810.95","$1,762,622.02","$1,768,269.36"
2031,2,2,"$3,908,467.11","$4,609,577.24","$4,067,976.64","$4,578,853.15"
2031,2,3,"$928,183.84","$932,790.88","$957,822.05","$972,252.58"
2031,2,4,"$363,717.47","$381,419.66","$412,856.65","$402,491.43"
2031,2,5,"$2,474,197.17","$2,981,879.33","$2,959,746.30","$3,208,320.16"
2031,2,6,"$3,552,282.21","$3,364,886.06","$4,800,545.92","$4,405,951.75"
2031,3,1,"$49,138,560.01","$50,062,769.14","$39,924,279.42","$59,578,187.28"
2031,3,2,"$29,165,970.22","$26,789,217.62","$19,741,083.99","$31,539,120.22"
2031,3,3,"$10,981,076.54","$16,966,096.24","$15,262,142.71","$14,967,582.08"
2031,3,4,"$17,320,399.73","$16,538,589.92","$24,031,407.05","$18,095,803.17"
2031,3,5,"$16,205,237.07","$18,993,865.38","$25,017,025.63","$26,421,626.37"
2031,3,6,"$31,036,804.97","$22,499,639.97","$21,166,798.11","$26,332,946.83"
2031,4,1,"$2,810,099.85","$2,942,512.53","$3,067,836.20","$3,016,106.91"
2031,4,2,"$2,963,624.97","$3,220,965.70","$3,256,784.57","$3,291,801.59"
2031,4,3,"$1,904,133.48","$2,023,072.95","$2,069,606.72","$2,130,709.62"
2031,4,4,"$523,697.81","$480,895.41","$521,360.81","$547,278.96"
2031,4,5,"$451,926.19","$492,866.96","$483,068.39","$496,009.79"
2031,4,6,"$432,521.09","$408,598.80","$415,591.27","$464,362.86"
2032,1,1,"$1,793,392.91","$1,815,816.95","$1,873,924.04","$1,873,268.99"
2032,1,2,"$3,007,406.94","$3,959,379.10","$3,195,764.57","$3,717,172.53"
2032,1,3,"$608,377.77","$605,527.79","$604,070.33","$625,441.58"
2032,1,4,"$224,700.43","$216,107.58","$225,811.96","$233,230.39"
2032,1,5,"$2,239,300.12","$1,685,766.31","$2,354,136.06","$2,479,377.07"
2032,1,6,"$2,531,815.38","$2,125,184.55","$4,233,730.80","$3,087,429.85"
2032,2,1,"$1,695,820.88","$1,734,870.05","$1,781,444.26","$1,828,115.44"
2032,2,2,"$4,251,377.88","$4,168,647.39","$4,306,615.64","$4,275,525.63"
2032,2,3,"$932,459.72","$950,543.68","$960,696.13","$979,545.32"
2032,2,4,"$388,265.73","$383,246.53","$434,303.84","$436,511.55"
2032,2,5,"$3,203,970.32","$2,866,182.96","$2,957,968.69","$2,934,227.50"
2032,2,6,"$2,964,086.99","$4,895,153.22","$5,629,662.75","$3,922,850.10"
2032,3,1,"$57,666,511.67","$56,332,385.09","$46,317,225.15","$47,084,161.46"
2032,3,2,"$28,911,637.51","$28,309,286.53","$21,369,979.24","$29,962,404.07"
2032,3,3,"$13,101,941.12","$9,355,121.35","$15,650,389.51","$19,479,253.06"
2032,3,4,"$16,856,650.53","$14,584,029.61","$15,343,693.18","$17,620,392.20"
2032,3,5,"$19,243,003.47","$25,648,499.93","$26,560,004.71","$22,701,437.71"
2032,3,6,"$31,639,431.67","$21,447,434.28","$25,183,210.41","$22,791,388.13"
2032,4,1,"$2,984,325.89","$3,116,840.35","$2,977,932.65","$3,046,264.15"
2032,4,2,"$3,118,192.99","$3,112,654.76","$3,064,947.88","$3,217,692.39"
2032,4,3,"$2,150,972.64","$2,011,443.98","$2,069,889.40","$2,058,674.46"
2032,4,4,"$503,352.26","$537,009.02","$531,255.60","$612,222.77"
2032,4,5,"$512,451.10","$438,717.21","$511,270.28","$544,966.66"
